'key'|'en'|'fr'|'sp'|'gm'|'du'|'ru'|'th'|'jp'|'po'|'cn'|'it'|'in'|'tk'|'ko'
'Tut8'|'Choose where the <#FF5678>square connects</color>.'|'Choisis où le <#FF5678>carré se connecte</color>.'|'Escoge de qué lado quieres conectar <#FF5678>el cubito</color>.'|'Wähle, wo sich das <#FF5678>Quadrat verbindet</color>.'|'Kies waaraan het <#FF5678>vierkant gekoppeld</color> moeten worden.'|'Выберите место <#FF5678>соединения квадратика</color>.'|'เลือกจุดที่จะ<#FF5678>เชื่อมต่อสี่เหลี่ยม</color>'|'<#FF5678>正方形がつながる</color>場所を選択してください。'|'Escolha onde o <#FF5678>quadrado conecta</color>.'|'选择方块<#FF5678>连接的位置</color>。'|'Scegli dove si <#FF5678>connette</color> il <#FF5678>quadrato</color>.'|'Pilih di mana <#FF5678>kotak</color> saling <#FF5678>terhubung</color>.'|'<#FF5678>Karenin</color> nereye <#FF5678>bağlanacağını</color> seçin.'|'<#FF5678>네모를 연결할</color> 부분을 선택하세요.'
'Tut9'|'Tap the <#FF5678>repair</color> button to <#FF5678>fix</color> the game board.'|'Appuis sur le <#FF5678>bouton de réparation</color> pour <#FF5678>réparer</color> le plateau de jeu.'|'Toca el botón <#FF5678>restaurador</color> para <#FF5678>reconstruir</color> el tablero.'|'Tippe auf die <#FF5678>Reparaturschaltfläche</color>, um das Spielbrett zu <#FF5678>reparieren</color>.'|'Tik op de <#FF5678>reparatieknop</color> om het spelbord te <#FF5678>repareren</color>.'|'Нажмите кнопку <#FF5678>ремонта</color>, чтобы <#FF5678>восстановить</color> игровое поле.'|'แตะปุ่ม<#FF5678>ซ่อมแซม</color>เพื่อ<#FF5678>ซ่อม</color>กระดานเกม'|'<#FF5678>修理</color>ボタンをタップして、ゲームボードを<#FF5678>回復</color>しましょう。'|'Clique no botão <#FF5678>reparar</color> para <#FF5678>consertar</color> o tabuleiro do jogo.'|'点击<#FF5678>修复</color>按钮来<#FF5678>修复</color>游戏板。'|'Tocca il pulsante di <#FF5678>riparazione</color> per <#FF5678>sistemare</color> il tabellone.'|'Ketuk tombol perbaikan untuk <#FF5678>memperbaiki</color> papan.'|'Oyun tahtasını düzeltmek için <#FF5678>onarım</color> düğmesine dokunun.'|'<#FF5678>수리</color> 버튼을 탭하여 게임 보드를 <#FF5678>고치세요</color>.'
'Tut10'|'Every point you score charges the <#FF5678>repair</color> button. It must be <#FF5678>fully charged</color> to use.'|'Chaque point que tu marques charge le bouton de <#FF5678>réparation</color>. Il doit être <#FF5678>complètement chargé</color> pour pouvoir être utilisé.'|'Con cada punto que ganas se carga el botón <#FF5678>restaurador</color>. Debe estar <#FF5678>completamente cargado</color> para poderlo utilizar.'|'Jeder Punkt, den du erzielst, lädt den <#FF5678>Reparaturknopf</color> auf. Du kannst ihn nur nutzen, wenn er <#FF5678>vollständig aufgeladen</color> wurde.'|'Elk punt dat je scoort laadt de <#FF5678>reparatieknop</color> op. Deze moet <#FF5678>volledig opgeladen</color> zijn om hem te kunnen gebruiken.'|'Каждое набранное вами очко заряжает кнопку <#FF5678>восстановления</color>. Для использования она должна быть <#FF5678>полностью заряжена</color>.'|'ทุกคะแนนที่คุณได้จะเปลี่ยนเป็นปุ่ม<#FF5678>ซ่อมแซม</color> ปุ่มนี้ต้อง<#FF5678>ชาร์จจนเต็ม</color>ถึงจะใช้ได้'|'ポイントを稼ぐたびに、<#FF5678>修理</color>ボタンのゲージが溜まっていきます。使用するにはゲージが<#FF5678>満タン</color>になる必要があります。'|'Cada ponto que você marca, carrega o botão <#FF5678>reparar</color>. Ele deve estar <#FF5678>totalmente carregado</color> para ser utilizado.'|'每得一分，<#FF5678>修复</color>按钮就会充电。它必须<#FF5678>充满电</color>才能使用。'|'Ogni punto che ottieni carica il pulsante di <#FF5678>riparazione</color>. Deve essere <#FF5678>completamente carico</color> per poterlo utilizzare.'|'Tiap poin akan mengisi tombol <#FF5678>perbaikan</color>. Tombol harus <#FF5678>terisi penuh</color> untuk dapat digunakan.'|'Aldığınız her puan <#FF5678>onarım</color> düğmesini şarj eder. Kullanmak için <#FF5678>tam olarak şarj</color> edilmesi gerekir.'|'점수를 획득할 때마다 <#FF5678>수리</color> 버튼이 충전됩니다. <#FF5678>완전히 충전</color>되어야 사용할 수 있습니다.'
'Tut11'|'The purple square only has <#FF5678>two connections</color> and is still <#FF5678>awake</color>.'|'Le carré violet na que <#FF5678>deux connexions</color> et est toujours <#FF5678>éveillé</color>.'|'El cubito morado sólo tiene <#FF5678>dos conexiones</color> y aún está <#FF5678>despierto</color>.'|'Das lila Quadrat hat nur <#FF5678>zwei Verbindungen</color> und ist noch <#FF5678>wach</color>.'|'Het paarse vierkant heeft maar <#FF5678>twee connecties</color> en is nog <#FF5678>wakker</color>.'|'Пурпурный квадратик имеет только <#FF5678>две связи</color> и ещё <#FF5678>не спит</color>.'|'สี่เหลี่ยมสี่ม่วงมี<#FF5678>การเชื่อมต่อสองจุด</color>แต่ยัง<#FF5678>ตื่น</color>อยู่'|'この紫色の正方形は<#FF5678>2か所接続</color>しており、正方形はまだ<#FF5678>起きて</color>います。'|'O quadrado roxo tem apenas <#FF5678>duas conexões</color> e ainda <#FF5678>está acordado</color>.'|'紫色的方块只有<#FF5678>两个连接点</color>，而且还是<#FF5678>清醒的</color>。'|'Il quadrato viola ha solo <#FF5678>due</color> collegamenti ed è ancora <#FF5678>sveglio</color>.'|'Kotak ungu hanya memiliki <#FF5678>dua hubungan</color> dan masih <#FF5678>terjaga</color>.'|'Mor karenin sadece <#FF5678>iki bağlantısı</color> var ve hala <#FF5678>uyanık</color>.'|'보라색 네모는 <#FF5678>두 개의 연결</color>만 있어서 아직 <#FF5678>깨어</color> 있습니다.'
'Tut12'|'The next red square has <#FF5678>two eyes</color>, which would be perfect for purple’s spot.'|'Le prochain carré rouge a <#FF5678>deux yeux</color>, ce qui serait parfait pour la place du violet.'|'El siguiente cubito rojo tiene <#FF5678>dos ojitos</color>, ideal para ocupar el puesto del morado.'|'Das nächste rote Quadrat hat <#FF5678>zwei Augen</color>, die perfekt für die lilane Stelle wären.'|'Het volgende, rode vierkant heeft <#FF5678>twee ogen</color> en zou perfect zijn voor het plekje van paars.'|'Следующий квадратик, красный, имеет <#FF5678>два глаза</color>, что было бы идеально на месте пурпурного.'|'สี่เหลี่ยมสีแดงที่อยู่ถัดไปมี<#FF5678>ตาสองข้าง</color> ซึ่งเหมาะที่สุดสำหรับจุดของสีม่วง'|'次の赤い正方形は<#FF5678>目が2つ</color>なので、この紫の正方形の場所に来るのにピッタリです。'|'O próximo, o quadrado vermelho, tem <#FF5678>dois olhos</color>, que seriam perfeitos para o local do roxo; '|'接下来，红色方块有<#FF5678>两个眼睛</color>，这将是紫色方块的完美位置。'|'Il prossimo quadrato rosso ha <#FF5678>due occhi</color>, che sarebbero perfetti per il posto del viola.'|'Kotak merah di sebelahnya punya <#FF5678>dua mata</color>, yang cocok untuk di tempat ungu.'|'Sonraki kırmızı karenin mor bölge için mükemmel olan <#FF5678>iki gözü</color> vardır.'|'다음 빨간색 네모는 <#FF5678>두 개의 눈</color>이 있어서, 보라색 자리에 딱 맞습니다.'
'Tut13'|'Tap the <#FF5678>swap button</color> to trade places between the two squares.'|'Appuis sur le <#FF5678>bouton déchange</color> pour échanger les places des deux carrés.'|'Toca el <#FF5678>botón de trueque</color> para cambiar los dos cubitos de puesto.'|'Tippe auf die <#FF5678>Tausch-Schaltfläche</color>, um die Plätze der beiden Quadrate zu vertauschen.'|'Tik op de <#FF5678>omwisselknop</color> om de twee vierkanten van plek te laten wisselen.'|'Нажмите <#FF5678>кнопку обмена</color>, чтобы поменять местами два квадратика.'|'แตะ<#FF5678>ปุ่มสลับ</color>เพื่อเปลี่ยนที่ระหว่างสี่เหลี่ยมสองตัว'|'<#FF5678>交換ボタン</color>をタップして、２つの正方形の場所を交換してみましょう。'|'Clique no <#FF5678>botão trocar</color>, para trocar dois quadrados de lugar entre si.'|'点击<#FF5678>交换按钮</color>，两个方块可以交换位置。'|'Tocca il <#FF5678>pulsante di scambio</color> per scambiare i posti tra i due quadrati.'|'Ketuk tombol tukar untuk <#FF5678>menukar</color> tempat kedua kotak.'|'İki kare arasındaki yerleri değiştirmek için değiş <#FF5678>tokuş düğmesine dokunun</color>.'|'<#FF5678>바꾸기 버튼</color>을 탭하여 두 네모의 위치를 바꿔 주세요.'
'Tut14'|'Tap the square you would like to <#FF5678>swap</color> out.'|'Appuis sur le carré que tu souhaites <#FF5678>échanger</color>.'|'Toca el cubito que quieres <#FF5678>cambiar</color>.'|'Tippe auf das Quadrat, das du <#FF5678>austauschen</color> möchtest.'|'Tik op het vierkant dat je wilt <#FF5678>omwisselen</color>.'|'Коснитесь квадратика, который вы хотите <#FF5678>поменять</color>.'|'แตะสี่เหลี่ยมที่คุณต้องการ<#FF5678>สลับ</color>'|'<#FF5678>交換</color>したい正方形をタップしてください。'|'Clique no quadrado que você gostaria de <#FF5678>substituir</color>. '|'点击你想<#FF5678>交换</color>的方块。'|'Tocca il quadrato che desideri <#FF5678>sostituire</color>.'|'Ketuk kotak yang ingin kamu <#FF5678>tukar</color>.'|'Götürmek istediğiniz kareye <#FF5678>dokunun</color>.'|'위치를 <#FF5678>바꾸려는</color> 네모를 탭하세요.'
'Tut15'|'Great work! Let’s <#FF5678>repair</color> the game board again.'|'Beau travail ! <#FF5678>Réparons</color> à nouveau le plateau de jeu.'|'Eso es! Vamos <#FF5678>a restaurar</color> el tablero de nuevo.'|'Gute gemacht! Lass uns das Spielbrett noch einmal <#FF5678>reparieren</color>.'|'Goed gedaan! Laten we het spelbord nogmaals <#FF5678>repareren</color>.'|'Отличная работа! Давайте снова <#FF5678>восстановим</color> игровое поле.'|'เก่งมาก! มา<#FF5678>ซ่อม</color>กระดานเกมกันอีกครั้งกันเถอะ'|'すばらしい！それではゲームボードをもう一度<#FF5678>修理</color>してみましょう。'|'Ótimo trabalho! Vamos <#FF5678>reparar</color> o tabuleiro do jogo novamente.'|'做得很好! 让我们再次<#FF5678>修复</color>游戏板。'|'Ottimo lavoro! <#FF5678>Sistemiamo</color> di nuovo il tabellone.'|'Bagus! Ayo <#FF5678>perbaiki</color> lagi papannya.'|'Harika iş! Oyun tahtasını tekrar <#FF5678>onaralım</color>.'|'훌륭합니다! 다시 게임 보드를 <#FF5678>수리</color>하세요.'
'Tut16'|'Try to score <#FF5678>75 points</color>. Use the <#FF5678>swap</color> button for help.'|'Essaie de marquer <#FF5678>75 points</color>. Utilise le <#FF5678>bouton déchange</color> pour obtenir de laide.'|'Trata de ganar <#FF5678>75 puntos</color>. Utiliza el <#FF5678>botón</color> de trueque como ayuda.'|'Versuche, <#FF5678>75 Punkte</color> zu erzielen. Verwende die <#FF5678>Tausch-Schaltfläche</color>, um Hilfe zu erhalten.'|'Probeer <#FF5678>75 punten</color> te scoren. Gebruik de <#FF5678>omwisselknop</color> voor hulp.'|'Постарайтесь набрать <#FF5678>75 очков</color>. Чтобы получить помощь, воспользуйтесь кнопкой <#FF5678>обмена</color>.'|'พยายามทำให้ได้ <#FF5678>75 คะแนน</color> ใช้ปุ่ม<#FF5678>สลับ</color>มาช่วย'|'今度は<#FF5678>75ポイント</color>を得点してみてください。 困った時は<#FF5678>交換</color>ボタンを上手く使ってみましょう。'|'Tente marcar <#FF5678>75 pontos</color>. Utilize o <#FF5678>botão trocar</color> para receber ajuda.'|'试着得到<#FF5678>75分</color>。使用<#FF5678>交换</color>按钮寻求帮助。'|'Prova a ottenere <#FF5678>75 punti</color>. Usa il <#FF5678>pulsante di scambio</color> per ricevere aiuto. '|'Cobalah raih <#FF5678>75 poin</color>. Gunakan tombol <#FF5678>tukar</color> untuk bantuan.'|'<#FF5678>75 puan</color> almaya çalışın. Yardım için değiş <#FF5678>tokuş düğmesini kullanın</color>.'|'<#FF5678>75점</color>을 획득해 보세요. <#FF5678>바꾸기</color> 버튼을 사용해 도움을 받으세요.'
'Tut17'|'Congratulations! You’re ready to play <#FF5678>Sleepy Squares</color>.'|'Félicitations ! Tu es prêt à jouer à <#FF5678>Carrés Endormis</color>.'|'¡Felicitaciones! Ya estás listo para jugar los <#FF5678>Cubitos Dormilones</color>.'|'Herzlichen Glückwunsch! Du bist bereit, <#FF5678>Schläfrige Quadrate</color> zu spielen.'|'Gefeliciteerd! Jij bent klaar om <#FF5678>Slaperige Vierkanten</color> te spelen.'|'Поздравляем! Вы готовы играть в <#FF5678>Сонные квадратики</color>.'|'ยินดีด้วย! คุณพร้อมเล่น <#FF5678>สแควร์ง่วงนอน</color> แล้ว'|'おめでとうございます！これであなたはいつでも<#FF5678>眠そうな広場</color>をプレイすることができます。'|'Parabéns! Você está pronto para jogar <#FF5678>Quadrados Dorminhocos</color>.'|'恭喜你！你已经准备好玩 <#FF5678>瞌睡方块</color> 了。'|'Congratulazioni! Sei pronto per giocare a <#FF5678>Quadrati Sonnolenti</color>.'|'Selamat! Kamu siap untuk bermain <#FF5678>Kotak Mengantuk</color>.'|'Tebrikler! <#FF5678>Uykulu Kareler</color> oynamaya hazırsınız.'|'축하합니다! <#FF5678>슬리피 스퀘어</color>를 플레이할 준비가 되셨습니다.'
'Tut18'|'Have fun earning <#FF5678>points</color> and climbing the <#FF5678>leaderboards</color>!'|'Amuse-toi tout en gagnant des <#FF5678>points</color> et en grimpant dans les <#FF5678>classements</color>!'|'Diviértete acumulando <#FF5678>puntos</color> y ascendiendo a los primeros puestos en la <#FF5678>lista de ganadores</color>!'|'Viel Spaß beim <#FF5678>Punktesammeln</color> und beim Aufstieg in die <#FF5678>Bestenlisten</color>!'|'Veel plezier met <#FF5678>punten</color> verdienen en klim naar de top van het <#FF5678>scorebord</color>!'|'Получайте удовольствие, зарабатывая <#FF5678>очки</color> и поднимаясь в <#FF5678>таблице лидеров</color>!'|'ขอให้สนุกกับการทำ<#FF5678>คะแนน</color>และไต่อันดับใน<#FF5678>กระดานผู้มีคะแนนนำ</color>นะ!'|'それでは楽しく<#FF5678>ポイント</color>を得点し、<#FF5678>スコアボード</color>上位を目指しましょう！'|'Divirta-se ganhando <#FF5678>pontos</color> e subindo nas <#FF5678>tabelas de classificação</color>!'|'祝你在游戏中赚取<#FF5678>积分</color>，并在<#FF5678>排行榜</color>上取得好成绩。'|'Divertiti a guadagnare <#FF5678>punti</color> e scalare le <#FF5678>classifiche</color>!'|'Nikmati meraih <#FF5678>poin</color> dan menaiki jenjang <#FF5678>peringkat</color>!'|'<#FF5678>Puan</color> kazanmanın ve <#FF5678>liderlik tablolarında</color> tırmanmanın keyfini çıkarın!'|'즐겁게 <#FF5678>점수</color>를 획득하며 <#FF5678>순위표</color> 상단에 올라보세요!'
'Error'|'*Connection Error*'|'*Erreur de Connexion*'|'*Error de Conexión*'|'*Verbindungsfehler*'|'*verbindingsfout*'|'*Ошибка подключения*'|'*การเชื่อมต่อล้มเหลว**'|'**接続エラー*'|'*Erro de Conexão*'|'*连接错误*'|'*Errore di Connessione*'|'*Koneksi Error*'|'*Bağlantı Hatası*'|'*연결 오류*'
